loss,config,halt_threshold,n_sup,epoch,train_ce,train_qloss,avg_steps_train,halt_logit_mean,halt_logit_std,halt_logit_max,pct_logit_gt0,pct_logit_gt1p5,train_pct_step1,train_pct_never,val_acc,val_steps_mean,val_pct_step1,val_pct_never
softmean,halt-0,0.0,5,0,1.6185,0.6229,5.0,-0.743,0.402,0.267,0.3,0.0,1.4,98.6,0.08,4.97,0.0,99.1
softmean,halt-0,0.0,5,10,0.9364,0.6574,1.953091684434968,0.381,0.286,1.861,90.6,0.0,96.4,3.2,2.52,1.06,98.2,1.5
softmean,halt-0,0.0,5,20,0.5481,0.5377,1.0,1.220,0.196,1.926,100.0,7.8,100.0,0.0,9.18,1.00,100.0,0.0
softmean,halt-0,0.0,5,30,0.3628,0.4190,1.0,1.767,0.322,3.216,100.0,79.9,100.0,0.0,44.58,1.00,100.0,0.0
softmean,halt-0,0.0,5,40,0.0341,0.0604,1.0,4.832,0.907,8.342,100.0,100.0,100.0,0.0,95.44,1.00,100.0,0.0
softmean,halt-0,0.0,5,50,0.0253,0.0458,1.0,5.457,1.238,9.940,100.0,100.0,100.0,0.0,97.34,1.00,100.0,0.0
softmean,halt-0,0.0,5,60,0.0223,0.0364,1.0,5.836,1.358,10.234,100.0,100.0,100.0,0.0,99.66,1.00,100.0,0.0
softmean,halt-0,0.0,5,70,0.0387,0.0446,1.0021321961620469,5.909,1.637,10.760,100.0,99.6,100.0,0.0,99.68,1.00,100.0,0.0
softmean,halt-0,0.0,5,80,0.0118,0.0236,1.0,6.425,1.305,11.255,100.0,100.0,100.0,0.0,96.86,1.00,100.0,0.0
softmean,halt-0,0.0,5,90,0.0157,0.0272,1.0,6.152,1.300,10.542,100.0,100.0,100.0,0.0,97.26,1.00,100.0,0.0
softmean,halt-1.5,1.5,5,0,1.6268,0.6183,5.0,-0.752,0.418,0.083,0.1,0.0,0.0,100.0,0.08,5.00,0.0,100.0
softmean,halt-1.5,1.5,5,10,0.7100,0.6067,5.0,0.881,0.251,1.792,99.8,0.3,0.4,99.3,6.44,4.97,0.5,99.1
softmean,halt-1.5,1.5,5,20,0.5510,0.5381,5.0,1.218,0.203,2.009,100.0,7.9,7.3,89.4,8.32,4.55,7.2,87.4
softmean,halt-1.5,1.5,5,30,0.5084,0.5127,5.0,1.335,0.179,2.062,100.0,18.9,16.9,76.9,12.44,3.77,25.8,67.5
softmean,halt-1.5,1.5,5,40,0.2061,0.2070,1.9836531627576404,2.557,1.009,6.048,100.0,86.4,94.0,4.8,53.28,1.19,94.2,4.3
softmean,halt-1.5,1.5,5,50,0.0435,0.0550,1.091684434968017,5.029,1.470,10.176,100.0,99.6,99.9,0.1,98.14,1.00,100.0,0.0
softmean,halt-1.5,1.5,5,60,0.0119,0.0136,1.0,6.797,1.210,11.364,100.0,100.0,100.0,0.0,98.72,1.00,100.0,0.0
softmean,halt-1.5,1.5,5,70,0.1709,0.1366,2.031272210376688,3.466,2.140,11.125,99.7,88.8,95.2,4.2,96.82,1.00,100.0,0.0
softmean,halt-1.5,1.5,5,80,0.0540,0.0371,1.1620469083155651,6.224,2.277,12.019,99.6,94.8,98.7,1.1,42.82,3.16,43.9,53.2
softmean,halt-1.5,1.5,5,90,0.0080,0.0171,1.0,7.213,1.807,14.270,100.0,100.0,100.0,0.0,98.12,1.00,100.0,0.0
