loss,config,halt_threshold,n_sup,split,epoch,step,count,val_acc,note
softmean,halt-0,0.0,5,train,0,1,613,0.08,
softmean,halt-0,0.0,5,train,0,2,0,0.08,
softmean,halt-0,0.0,5,train,0,3,0,0.08,
softmean,halt-0,0.0,5,train,0,4,1,0.08,
softmean,halt-0,0.0,5,train,0,5,44386,0.08,includes never-halted
softmean,halt-0,0.0,5,val,0,1,0,0.08,
softmean,halt-0,0.0,5,val,0,2,46,0.08,
softmean,halt-0,0.0,5,val,0,3,0,0.08,
softmean,halt-0,0.0,5,val,0,4,0,0.08,
softmean,halt-0,0.0,5,val,0,5,4954,0.08,includes never-halted
softmean,halt-0,0.0,5,train,10,1,43358,2.52,
softmean,halt-0,0.0,5,train,10,2,181,2.52,
softmean,halt-0,0.0,5,train,10,3,16,2.52,
softmean,halt-0,0.0,5,train,10,4,0,2.52,
softmean,halt-0,0.0,5,train,10,5,1445,2.52,includes never-halted
softmean,halt-0,0.0,5,val,10,1,4908,2.52,
softmean,halt-0,0.0,5,val,10,2,19,2.52,
softmean,halt-0,0.0,5,val,10,3,0,2.52,
softmean,halt-0,0.0,5,val,10,4,0,2.52,
softmean,halt-0,0.0,5,val,10,5,73,2.52,includes never-halted
softmean,halt-0,0.0,5,train,20,1,45000,9.18,
softmean,halt-0,0.0,5,train,20,2,0,9.18,
softmean,halt-0,0.0,5,train,20,3,0,9.18,
softmean,halt-0,0.0,5,train,20,4,0,9.18,
softmean,halt-0,0.0,5,train,20,5,0,9.18,includes never-halted
softmean,halt-0,0.0,5,val,20,1,5000,9.18,
softmean,halt-0,0.0,5,val,20,2,0,9.18,
softmean,halt-0,0.0,5,val,20,3,0,9.18,
softmean,halt-0,0.0,5,val,20,4,0,9.18,
softmean,halt-0,0.0,5,val,20,5,0,9.18,includes never-halted
softmean,halt-0,0.0,5,train,30,1,45000,44.58,
softmean,halt-0,0.0,5,train,30,2,0,44.58,
softmean,halt-0,0.0,5,train,30,3,0,44.58,
softmean,halt-0,0.0,5,train,30,4,0,44.58,
softmean,halt-0,0.0,5,train,30,5,0,44.58,includes never-halted
softmean,halt-0,0.0,5,val,30,1,5000,44.58,
softmean,halt-0,0.0,5,val,30,2,0,44.58,
softmean,halt-0,0.0,5,val,30,3,0,44.58,
softmean,halt-0,0.0,5,val,30,4,0,44.58,
softmean,halt-0,0.0,5,val,30,5,0,44.58,includes never-halted
softmean,halt-0,0.0,5,train,40,1,45000,95.44,
softmean,halt-0,0.0,5,train,40,2,0,95.44,
softmean,halt-0,0.0,5,train,40,3,0,95.44,
softmean,halt-0,0.0,5,train,40,4,0,95.44,
softmean,halt-0,0.0,5,train,40,5,0,95.44,includes never-halted
softmean,halt-0,0.0,5,val,40,1,5000,95.44,
softmean,halt-0,0.0,5,val,40,2,0,95.44,
softmean,halt-0,0.0,5,val,40,3,0,95.44,
softmean,halt-0,0.0,5,val,40,4,0,95.44,
softmean,halt-0,0.0,5,val,40,5,0,95.44,includes never-halted
softmean,halt-0,0.0,5,train,50,1,45000,97.34,
softmean,halt-0,0.0,5,train,50,2,0,97.34,
softmean,halt-0,0.0,5,train,50,3,0,97.34,
softmean,halt-0,0.0,5,train,50,4,0,97.34,
softmean,halt-0,0.0,5,train,50,5,0,97.34,includes never-halted
softmean,halt-0,0.0,5,val,50,1,5000,97.34,
softmean,halt-0,0.0,5,val,50,2,0,97.34,
softmean,halt-0,0.0,5,val,50,3,0,97.34,
softmean,halt-0,0.0,5,val,50,4,0,97.34,
softmean,halt-0,0.0,5,val,50,5,0,97.34,includes never-halted
softmean,halt-0,0.0,5,train,60,1,45000,99.66,
softmean,halt-0,0.0,5,train,60,2,0,99.66,
softmean,halt-0,0.0,5,train,60,3,0,99.66,
softmean,halt-0,0.0,5,train,60,4,0,99.66,
softmean,halt-0,0.0,5,train,60,5,0,99.66,includes never-halted
softmean,halt-0,0.0,5,val,60,1,5000,99.66,
softmean,halt-0,0.0,5,val,60,2,0,99.66,
softmean,halt-0,0.0,5,val,60,3,0,99.66,
softmean,halt-0,0.0,5,val,60,4,0,99.66,
softmean,halt-0,0.0,5,val,60,5,0,99.66,includes never-halted
softmean,halt-0,0.0,5,train,70,1,44998,99.68,
softmean,halt-0,0.0,5,train,70,2,1,99.68,
softmean,halt-0,0.0,5,train,70,3,1,99.68,
softmean,halt-0,0.0,5,train,70,4,0,99.68,
softmean,halt-0,0.0,5,train,70,5,0,99.68,includes never-halted
softmean,halt-0,0.0,5,val,70,1,5000,99.68,
softmean,halt-0,0.0,5,val,70,2,0,99.68,
softmean,halt-0,0.0,5,val,70,3,0,99.68,
softmean,halt-0,0.0,5,val,70,4,0,99.68,
softmean,halt-0,0.0,5,val,70,5,0,99.68,includes never-halted
softmean,halt-0,0.0,5,train,80,1,45000,96.86,
softmean,halt-0,0.0,5,train,80,2,0,96.86,
softmean,halt-0,0.0,5,train,80,3,0,96.86,
softmean,halt-0,0.0,5,train,80,4,0,96.86,
softmean,halt-0,0.0,5,train,80,5,0,96.86,includes never-halted
softmean,halt-0,0.0,5,val,80,1,5000,96.86,
softmean,halt-0,0.0,5,val,80,2,0,96.86,
softmean,halt-0,0.0,5,val,80,3,0,96.86,
softmean,halt-0,0.0,5,val,80,4,0,96.86,
softmean,halt-0,0.0,5,val,80,5,0,96.86,includes never-halted
softmean,halt-0,0.0,5,train,90,1,45000,97.26,
softmean,halt-0,0.0,5,train,90,2,0,97.26,
softmean,halt-0,0.0,5,train,90,3,0,97.26,
softmean,halt-0,0.0,5,train,90,4,0,97.26,
softmean,halt-0,0.0,5,train,90,5,0,97.26,includes never-halted
softmean,halt-0,0.0,5,val,90,1,5000,97.26,
softmean,halt-0,0.0,5,val,90,2,0,97.26,
softmean,halt-0,0.0,5,val,90,3,0,97.26,
softmean,halt-0,0.0,5,val,90,4,0,97.26,
softmean,halt-0,0.0,5,val,90,5,0,97.26,includes never-halted
softmean,halt-1.5,1.5,5,train,0,1,0,0.08,
softmean,halt-1.5,1.5,5,train,0,2,0,0.08,
softmean,halt-1.5,1.5,5,train,0,3,0,0.08,
softmean,halt-1.5,1.5,5,train,0,4,0,0.08,
softmean,halt-1.5,1.5,5,train,0,5,45000,0.08,includes never-halted
softmean,halt-1.5,1.5,5,val,0,1,0,0.08,
softmean,halt-1.5,1.5,5,val,0,2,0,0.08,
softmean,halt-1.5,1.5,5,val,0,3,0,0.08,
softmean,halt-1.5,1.5,5,val,0,4,0,0.08,
softmean,halt-1.5,1.5,5,val,0,5,5000,0.08,includes never-halted
softmean,halt-1.5,1.5,5,train,10,1,181,6.44,
softmean,halt-1.5,1.5,5,train,10,2,127,6.44,
softmean,halt-1.5,1.5,5,train,10,3,21,6.44,
softmean,halt-1.5,1.5,5,train,10,4,0,6.44,
softmean,halt-1.5,1.5,5,train,10,5,44671,6.44,includes never-halted
softmean,halt-1.5,1.5,5,val,10,1,24,6.44,
softmean,halt-1.5,1.5,5,val,10,2,14,6.44,
softmean,halt-1.5,1.5,5,val,10,3,5,6.44,
softmean,halt-1.5,1.5,5,val,10,4,0,6.44,
softmean,halt-1.5,1.5,5,val,10,5,4957,6.44,includes never-halted
softmean,halt-1.5,1.5,5,train,20,1,3284,8.32,
softmean,halt-1.5,1.5,5,train,20,2,1375,8.32,
softmean,halt-1.5,1.5,5,train,20,3,109,8.32,
softmean,halt-1.5,1.5,5,train,20,4,16,8.32,
softmean,halt-1.5,1.5,5,train,20,5,40216,8.32,includes never-halted
softmean,halt-1.5,1.5,5,val,20,1,358,8.32,
softmean,halt-1.5,1.5,5,val,20,2,253,8.32,
softmean,halt-1.5,1.5,5,val,20,3,20,8.32,
softmean,halt-1.5,1.5,5,val,20,4,1,8.32,
softmean,halt-1.5,1.5,5,val,20,5,4368,8.32,includes never-halted
softmean,halt-1.5,1.5,5,train,30,1,7590,12.44,
softmean,halt-1.5,1.5,5,train,30,2,2599,12.44,
softmean,halt-1.5,1.5,5,train,30,3,163,12.44,
softmean,halt-1.5,1.5,5,train,30,4,26,12.44,
softmean,halt-1.5,1.5,5,train,30,5,34622,12.44,includes never-halted
softmean,halt-1.5,1.5,5,val,30,1,1291,12.44,
softmean,halt-1.5,1.5,5,val,30,2,304,12.44,
softmean,halt-1.5,1.5,5,val,30,3,27,12.44,
softmean,halt-1.5,1.5,5,val,30,4,4,12.44,
softmean,halt-1.5,1.5,5,val,30,5,3374,12.44,includes never-halted
softmean,halt-1.5,1.5,5,train,40,1,42308,53.28,
softmean,halt-1.5,1.5,5,train,40,2,483,53.28,
softmean,halt-1.5,1.5,5,train,40,3,58,53.28,
softmean,halt-1.5,1.5,5,train,40,4,9,53.28,
softmean,halt-1.5,1.5,5,train,40,5,2142,53.28,includes never-halted
softmean,halt-1.5,1.5,5,val,40,1,4709,53.28,
softmean,halt-1.5,1.5,5,val,40,2,71,53.28,
softmean,halt-1.5,1.5,5,val,40,3,5,53.28,
softmean,halt-1.5,1.5,5,val,40,4,1,53.28,
