loss,config,halt_threshold,n_sup,epoch,sup_step,val_halt_logit_mean,val_acc
softmean,halt-0,0.0,5,0,1,-0.473,0.08
softmean,halt-0,0.0,5,0,2,-0.455,0.08
softmean,halt-0,0.0,5,0,3,-0.465,0.08
softmean,halt-0,0.0,5,0,4,-0.461,0.08
softmean,halt-0,0.0,5,0,5,-0.463,0.08
softmean,halt-0,0.0,5,10,1,0.354,2.52
softmean,halt-0,0.0,5,10,2,0.345,2.52
softmean,halt-0,0.0,5,20,1,1.207,9.18
softmean,halt-0,0.0,5,30,1,2.083,44.58
softmean,halt-0,0.0,5,40,1,4.816,95.44
softmean,halt-0,0.0,5,50,1,5.092,97.34
softmean,halt-0,0.0,5,60,1,7.288,99.66
softmean,halt-0,0.0,5,70,1,6.995,99.68
softmean,halt-0,0.0,5,80,1,5.286,96.86
softmean,halt-0,0.0,5,90,1,5.511,97.26
softmean,halt-1.5,1.5,5,0,1,-0.601,0.08
softmean,halt-1.5,1.5,5,0,2,-0.575,0.08
softmean,halt-1.5,1.5,5,0,3,-0.579,0.08
softmean,halt-1.5,1.5,5,0,4,-0.581,0.08
softmean,halt-1.5,1.5,5,0,5,-0.581,0.08
softmean,halt-1.5,1.5,5,10,1,0.944,6.44
softmean,halt-1.5,1.5,5,10,2,0.978,6.44
softmean,halt-1.5,1.5,5,10,3,0.969,6.44
softmean,halt-1.5,1.5,5,10,4,0.971,6.44
softmean,halt-1.5,1.5,5,10,5,0.973,6.44
softmean,halt-1.5,1.5,5,20,1,1.210,8.32
softmean,halt-1.5,1.5,5,20,2,1.237,8.32
softmean,halt-1.5,1.5,5,20,3,1.237,8.32
softmean,halt-1.5,1.5,5,20,4,1.237,8.32
softmean,halt-1.5,1.5,5,20,5,1.237,8.32
softmean,halt-1.5,1.5,5,30,1,1.384,12.44
softmean,halt-1.5,1.5,5,30,2,1.396,12.44
softmean,halt-1.5,1.5,5,30,3,1.398,12.44
softmean,halt-1.5,1.5,5,30,4,1.393,12.44
softmean,halt-1.5,1.5,5,30,5,1.395,12.44
softmean,halt-1.5,1.5,5,40,1,2.189,53.28
softmean,halt-1.5,1.5,5,40,2,2.207,53.28
softmean,halt-1.5,1.5,5,40,3,2.210,53.28
softmean,halt-1.5,1.5,5,40,4,2.208,53.28
softmean,halt-1.5,1.5,5,40,5,2.207,53.28
softmean,halt-1.5,1.5,5,50,1,6.183,98.14
softmean,halt-1.5,1.5,5,60,1,7.232,98.72
softmean,halt-1.5,1.5,5,70,1,5.171,96.82
softmean,halt-1.5,1.5,5,80,1,1.457,42.82
softmean,halt-1.5,1.5,5,80,2,1.463,42.82
softmean,halt-1.5,1.5,5,80,3,1.457,42.82
softmean,halt-1.5,1.5,5,80,4,1.458,42.82
softmean,halt-1.5,1.5,5,80,5,1.458,42.82
softmean,halt-1.5,1.5,5,90,1,5.924,98.12
softmean,nsup-1,0.0,1,0,1,-0.624,0.10
softmean,nsup-1,0.0,1,10,1,1.130,7.92
softmean,nsup-1,0.0,1,20,1,1.279,8.60
softmean,nsup-1,0.0,1,30,1,3.527,86.60
softmean,nsup-1,0.0,1,40,1,4.839,94.26
softmean,nsup-1,0.0,1,50,1,4.553,94.06
softmean,nsup-1,0.0,1,60,1,5.535,97.56
softmean,nsup-1,0.0,1,70,1,6.275,98.74
softmean,nsup-1,0.0,1,80,1,2.709,76.86
softmean,nsup-1,0.0,1,90,1,6.524,98.90
softmean,halt-3.0,3.0,5,0,1,-0.699,0.08
softmean,halt-3.0,3.0,5,0,2,-0.665,0.08
softmean,halt-3.0,3.0,5,0,3,-0.654,0.08
softmean,halt-3.0,3.0,5,0,4,-0.662,0.08
softmean,halt-3.0,3.0,5,0,5,-0.658,0.08
softmean,halt-3.0,3.0,5,10,1,0.854,6.62
softmean,halt-3.0,3.0,5,10,2,0.954,6.62
softmean,halt-3.0,3.0,5,10,3,0.930,6.62
softmean,halt-3.0,3.0,5,10,4,0.947,6.62
softmean,halt-3.0,3.0,5,10,5,0.931,6.62
softmean,halt-3.0,3.0,5,20,1,1.285,9.00
softmean,halt-3.0,3.0,5,20,2,1.302,9.00
softmean,halt-3.0,3.0,5,20,3,1.302,9.00
softmean,halt-3.0,3.0,5,20,4,1.303,9.00
softmean,halt-3.0,3.0,5,20,5,1.300,9.00
softmean,halt-3.0,3.0,5,30,1,1.401,13.52
softmean,halt-3.0,3.0,5,30,2,1.396,13.52
softmean,halt-3.0,3.0,5,30,3,1.407,13.52
softmean,halt-3.0,3.0,5,30,4,1.405,13.52
softmean,halt-3.0,3.0,5,30,5,1.404,13.52
softmean,halt-3.0,3.0,5,40,1,3.346,75.54
softmean,halt-3.0,3.0,5,40,2,3.441,75.54
softmean,halt-3.0,3.0,5,40,3,3.469,75.54
softmean,halt-3.0,3.0,5,40,4,3.482,75.54
softmean,halt-3.0,3.0,5,40,5,3.480,75.54
softmean,halt-3.0,3.0,5,50,1,3.189,77.50
softmean,halt-3.0,3.0,5,50,2,3.253,77.50
softmean,halt-3.0,3.0,5,50,3,3.222,77.50
softmean,halt-3.0,3.0,5,50,4,3.245,77.50
softmean,halt-3.0,3.0,5,50,5,3.241,77.50
softmean,halt-3.0,3.0,5,60,1,3.217,85.78
softmean,halt-3.0,3.0,5,60,2,3.334,85.78
softmean,halt-3.0,3.0,5,60,3,3.335,85.78
softmean,halt-3.0,3.0,5,60,4,3.320,85.78
softmean,halt-3.0,3.0,5,60,5,3.316,85.78
softmean,halt-3.0,3.0,5,70,1,3.955,90.04
softmean,halt-3.0,3.0,5,70,2,3.955,90.04
softmean,halt-3.0,3.0,5,70,3,3.973,90.04
softmean,halt-3.0,3.0,5,70,4,3.971,90.04
softmean,halt-3.0,3.0,5,70,5,3.976,90.04
softmean,halt-3.0,3.0,5,80,1,3.618,87.28
softmean,halt-3.0,3.0,5,80,2,3.681,87.28
softmean,halt-3.0,3.0,5,80,3,3.699,87.28
softmean,halt-3.0,3.0,5,80,4,3.690,87.28
softmean,halt-3.0,3.0,5,80,5,3.684,87.28
softmean,halt-3.0,3.0,5,90,1,3.956,86.60
softmean,halt-3.0,3.0,5,90,2,4.026,86.60
softmean,nsup-16,0.0,16,0,1,-0.666,0.06
softmean,nsup-16,0.0,16,0,2,-0.695,0.06
softmean,nsup-16,0.0,16,0,3,-0.703,0.06
softmean,nsup-16,0.0,16,0,4,-0.704,0.06
softmean,nsup-16,0.0,16,0,5,-0.706,0.06
softmean,nsup-16,0.0,16,0,6,-0.705,0.06
softmean,nsup-16,0.0,16,0,7,-0.706,0.06
softmean,nsup-16,0.0,16,0,8,-0.705,0.06
softmean,nsup-16,0.0,16,0,9,-0.705,0.06
softmean,nsup-16,0.0,16,0,10,-0.705,0.06
softmean,nsup-16,0.0,16,0,11,-0.705,0.06
softmean,nsup-16,0.0,16,0,12,-0.705,0.06
softmean,nsup-16,0.0,16,0,13,-0.705,0.06
softmean,nsup-16,0.0,16,0,14,-0.705,0.06
softmean,nsup-16,0.0,16,0,15,-0.705,0.06
softmean,nsup-16,0.0,16,0,16,-0.705,0.06
softmean,nsup-16,0.0,16,10,1,0.247,2.00
softmean,nsup-16,0.0,16,10,2,0.247,2.00
softmean,nsup-16,0.0,16,10,3,0.257,2.00
softmean,nsup-16,0.0,16,10,4,0.249,2.00
softmean,nsup-16,0.0,16,10,5,0.254,2.00
softmean,nsup-16,0.0,16,10,6,0.251,2.00
softmean,nsup-16,0.0,16,10,7,0.252,2.00
softmean,nsup-16,0.0,16,10,8,0.252,2.00
softmean,nsup-16,0.0,16,10,9,0.251,2.00
softmean,nsup-16,0.0,16,10,10,0.252,2.00
softmean,nsup-16,0.0,16,10,11,0.251,2.00
softmean,nsup-16,0.0,16,10,12,0.252,2.00
softmean,nsup-16,0.0,16,10,13,0.250,2.00
softmean,nsup-16,0.0,16,10,14,0.253,2.00
softmean,nsup-16,0.0,16,10,15,0.250,2.00
softmean,nsup-16,0.0,16,10,16,0.255,2.00
softmean,nsup-16,0.0,16,20,1,1.143,8.46
softmean,nsup-16,0.0,16,30,1,1.321,9.72
softmean,nsup-16,0.0,16,40,1,4.415,89.48
softmean,nsup-16,0.0,16,50,1,5.094,96.94
softmean,nsup-16,0.0,16,60,1,5.847,98.66
softmean,nsup-16,0.0,16,70,1,6.711,98.58
softmean,nsup-16,0.0,16,80,1,4.523,94.26
softmean,nsup-16,0.0,16,90,1,4.507,94.72
binary-em,halt-0,0.0,5,0,1,-7.166,0.08
binary-em,halt-0,0.0,5,0,2,-6.851,0.08
binary-em,halt-0,0.0,5,0,3,-6.982,0.08
binary-em,halt-0,0.0,5,0,4,-6.974,0.08
binary-em,halt-0,0.0,5,0,5,-6.979,0.08
binary-em,halt-0,0.0,5,10,1,-2.712,6.82
binary-em,halt-0,0.0,5,10,2,-2.608,6.82
binary-em,halt-0,0.0,5,10,3,-2.579,6.82
binary-em,halt-0,0.0,5,10,4,-2.574,6.82
binary-em,halt-0,0.0,5,10,5,-2.572,6.82
binary-em,halt-0,0.0,5,20,1,-2.334,8.22
binary-em,halt-0,0.0,5,20,2,-2.320,8.22
binary-em,halt-0,0.0,5,20,3,-2.331,8.22
binary-em,halt-0,0.0,5,20,4,-2.326,8.22
binary-em,halt-0,0.0,5,20,5,-2.331,8.22
binary-em,halt-0,0.0,5,30,1,-1.466,23.06
binary-em,halt-0,0.0,5,30,2,-1.458,23.06
binary-em,halt-0,0.0,5,30,3,-1.461,23.06
binary-em,halt-0,0.0,5,30,4,-1.462,23.06
binary-em,halt-0,0.0,5,30,5,-1.463,23.06
binary-em,halt-0,0.0,5,40,1,0.360,66.80
binary-em,halt-0,0.0,5,40,2,0.436,66.80
binary-em,halt-0,0.0,5,40,3,0.441,66.80
binary-em,halt-0,0.0,5,40,4,0.441,66.80
binary-em,halt-0,0.0,5,40,5,0.441,66.80
binary-em,halt-0,0.0,5,50,1,3.877,96.86
binary-em,halt-0,0.0,5,60,1,5.392,99.12
binary-em,halt-0,0.0,5,70,1,5.618,98.88
binary-em,halt-0,0.0,5,80,1,4.385,98.38
binary-em,halt-0,0.0,5,90,1,6.331,99.46
binary-em,halt-1.5,1.5,5,0,1,-7.339,0.06
binary-em,halt-1.5,1.5,5,0,2,-7.017,0.06
binary-em,halt-1.5,1.5,5,0,3,-7.118,0.06
binary-em,halt-1.5,1.5,5,0,4,-7.158,0.06
binary-em,halt-1.5,1.5,5,0,5,-7.129,0.06
binary-em,halt-1.5,1.5,5,10,1,-2.596,6.86
binary-em,halt-1.5,1.5,5,10,2,-2.633,6.86
binary-em,halt-1.5,1.5,5,10,3,-2.572,6.86
binary-em,halt-1.5,1.5,5,10,4,-2.585,6.86
binary-em,halt-1.5,1.5,5,10,5,-2.607,6.86
binary-em,halt-1.5,1.5,5,20,1,-2.306,9.22
binary-em,halt-1.5,1.5,5,20,2,-2.345,9.22
binary-em,halt-1.5,1.5,5,20,3,-2.338,9.22
binary-em,halt-1.5,1.5,5,20,4,-2.336,9.22
binary-em,halt-1.5,1.5,5,20,5,-2.334,9.22
binary-em,halt-1.5,1.5,5,30,1,-1.609,16.36
binary-em,halt-1.5,1.5,5,30,2,-1.636,16.36
binary-em,halt-1.5,1.5,5,30,3,-1.632,16.36
binary-em,halt-1.5,1.5,5,30,4,-1.631,16.36
binary-em,halt-1.5,1.5,5,30,5,-1.630,16.36
binary-em,halt-1.5,1.5,5,40,1,2.017,88.08
binary-em,halt-1.5,1.5,5,40,2,2.143,88.08
binary-em,halt-1.5,1.5,5,40,3,2.143,88.08
binary-em,halt-1.5,1.5,5,40,4,2.135,88.08
binary-em,halt-1.5,1.5,5,40,5,2.139,88.08
binary-em,halt-1.5,1.5,5,50,1,2.299,86.14
binary-em,halt-1.5,1.5,5,50,2,2.420,86.14
binary-em,halt-1.5,1.5,5,50,3,2.412,86.14
binary-em,halt-1.5,1.5,5,50,4,2.409,86.14
binary-em,halt-1.5,1.5,5,50,5,2.413,86.14
binary-em,halt-1.5,1.5,5,60,1,2.587,92.32
binary-em,halt-1.5,1.5,5,60,2,2.714,92.32
binary-em,halt-1.5,1.5,5,70,1,2.387,79.48
binary-em,halt-1.5,1.5,5,70,2,2.499,79.48
binary-em,halt-1.5,1.5,5,70,3,2.448,79.48
binary-em,halt-1.5,1.5,5,70,4,2.458,79.48
binary-em,halt-1.5,1.5,5,70,5,2.466,79.48
binary-em,halt-1.5,1.5,5,80,1,2.465,90.64
binary-em,halt-1.5,1.5,5,80,2,2.580,90.64
binary-em,halt-1.5,1.5,5,80,3,2.550,90.64
binary-em,halt-1.5,1.5,5,80,4,2.546,90.64
binary-em,halt-1.5,1.5,5,80,5,2.542,90.64
binary-em,halt-1.5,1.5,5,90,1,2.128,87.56
binary-em,halt-1.5,1.5,5,90,2,2.227,87.56
binary-em,halt-1.5,1.5,5,90,3,2.205,87.56
